"","row","col","correlation","var1","var2"
"Sprint_F_Last_5_2",15,14,0.978351290231632,"Sprint_F_Last_5_2","Sprint_F_Last_5"
"Sprint_F_Last_5",14,15,0.978351290231632,"Sprint_F_Last_5","Sprint_F_Last_5_2"
"Distance_C_Last_5_2",13,12,0.96983754699039,"Distance_C_Last_5_2","Distance_C_Last_5"
"Distance_C_Last_5",12,13,0.96983754699039,"Distance_C_Last_5","Distance_C_Last_5_2"
"Distance_F_Last_5_2.2",17,16,0.966994190626492,"Distance_F_Last_5_2","Distance_F_Last_5"
"Distance_F_Last_5.2",16,17,0.966994190626492,"Distance_F_Last_5","Distance_F_Last_5_2"
"Sprint_F_Pelo_Pct",7,5,0.957201197352599,"Sprint_F_Pelo_Pct","Sprint_Pelo_Pct"
"Sprint_Pelo_Pct.1",5,7,0.957201197352599,"Sprint_Pelo_Pct","Sprint_F_Pelo_Pct"
"Sprint_C_Last_5_2",11,10,0.955466306461195,"Sprint_C_Last_5_2","Sprint_C_Last_5"
"Sprint_C_Last_5",10,11,0.955466306461195,"Sprint_C_Last_5","Sprint_C_Last_5_2"
"Freestyle_Pelo_Pct.3",8,4,0.950393980493554,"Freestyle_Pelo_Pct","Pelo_Pct"
"Pelo_Pct.3",4,8,0.950393980493554,"Pelo_Pct","Freestyle_Pelo_Pct"
"Distance_F_Pelo_Pct",3,1,0.947234218899848,"Distance_F_Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct.1",1,3,0.947234218899848,"Distance_Pelo_Pct","Distance_F_Pelo_Pct"
"Distance_C_Pelo_Pct",2,1,0.944908684985589,"Distance_C_Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct",1,2,0.944908684985589,"Distance_Pelo_Pct","Distance_C_Pelo_Pct"
"Classic_Pelo_Pct.3",9,4,0.936885709298227,"Classic_Pelo_Pct","Pelo_Pct"
"Pelo_Pct.4",4,9,0.936885709298227,"Pelo_Pct","Classic_Pelo_Pct"
"Sprint_C_Pelo_Pct",6,5,0.931305983678761,"Sprint_C_Pelo_Pct","Sprint_Pelo_Pct"
"Sprint_Pelo_Pct",5,6,0.931305983678761,"Sprint_Pelo_Pct","Sprint_C_Pelo_Pct"
"Distance_Last_5_2.1",19,18,0.912736149942087,"Distance_Last_5_2","Distance_Last_5"
"Distance_Last_5.3",18,19,0.912736149942087,"Distance_Last_5","Distance_Last_5_2"
"Classic_Pelo_Pct.1",9,2,0.884885984432072,"Classic_Pelo_Pct","Distance_C_Pelo_Pct"
"Distance_C_Pelo_Pct.4",2,9,0.884885984432072,"Distance_C_Pelo_Pct","Classic_Pelo_Pct"
"Distance_F_Pelo_Pct.1",3,2,0.86131252848495,"Distance_F_Pelo_Pct","Distance_C_Pelo_Pct"
"Distance_C_Pelo_Pct.1",2,3,0.86131252848495,"Distance_C_Pelo_Pct","Distance_F_Pelo_Pct"
"Pelo_Pct",4,1,0.859185901477411,"Pelo_Pct","Distance_Pelo_Pct"
"Distance_Pelo_Pct.2",1,4,0.859185901477411,"Distance_Pelo_Pct","Pelo_Pct"
"Classic_Pelo_Pct.5",9,8,0.835507106781943,"Classic_Pelo_Pct","Freestyle_Pelo_Pct"
"Freestyle_Pelo_Pct.4",8,9,0.835507106781943,"Freestyle_Pelo_Pct","Classic_Pelo_Pct"
