,Date,City,Country,Event,Sex,Distance,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
0,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,1,Gaby Nestler,Germany,2542,1986,4,1967-02-16 00:00:00.000000,18.902121834360027,15,1300.0,1428.3333333333333
1,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,10,Marjo Matikainen-Kallström,Finland,2485,1986,4,1965-02-03 00:00:00.000000,20.93634496919918,16,1300.0,1398.3333333333333
2,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,11,Guidina Dal Sasso,Italy,1168,1986,4,1958-01-16 00:00:00.000000,27.98631074606434,22,1300.0,1395.0
3,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,12,Nina Koroleva,Soviet,2548,1986,4,,,5,1300.0,1391.6666666666667
4,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,13,Marie Johansson,Sweden,2535,1986,4,1963-06-30 00:00:00.000000,22.535249828884325,30,1300.0,1388.3333333333333
5,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,14,Susann Kuhfittig,Germany,2492,1986,4,1965-09-01 00:00:00.000000,20.361396303901437,5,1300.0,1383.3333333333333
6,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,14,Berit Kvello Aunli,Norway,2549,1986,4,1956-06-09 00:00:00.000000,29.590691307323752,40,1300.0,1383.3333333333333
7,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,16,Tamara Tikhonova Volkova,Soviet,1537,1986,4,1964-06-13 00:00:00.000000,21.579739904175224,14,1300.0,1378.3333333333333
8,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,17,Angela Schmidt-Foster,Canada,1471,1986,4,1960-01-06 00:00:00.000000,26.015058179329227,26,1300.0,1375.0
9,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,18,Nina Gavriljuk,Soviet,366,1986,4,1965-04-13 00:00:00.000000,20.747433264887064,1,1300.0,1371.6666666666667
10,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,19,Anfisa Reztsova,Soviet,622,1986,4,1964-12-16 00:00:00.000000,21.07049965776865,16,1300.0,1368.3333333333333
11,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,2,Carola Anding Jacob,Germany,2556,1986,4,1960-12-29 00:00:00.000000,25.034907597535934,21,1300.0,1425.0
12,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,20,Jana Mlakar,Slovenia,2630,1986,4,1962-05-11 00:00:00.000000,23.67145790554415,10,1300.0,1365.0
13,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,21,Catrin Larsson,Sweden,1457,1986,4,1961-07-13 00:00:00.000000,24.49828884325804,3,1300.0,1361.6666666666667
14,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,22,Ute Noack,Germany,2585,1986,4,1961-12-27 00:00:00.000000,24.041067761806982,35,1300.0,1358.3333333333333
15,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,23,Karin Thomas,Switzerland,2518,1986,4,1961-10-03 00:00:00.000000,24.27378507871321,32,1300.0,1355.0
16,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,24,Larissa Lazutina,Soviet,417,1986,4,1965-06-01 00:00:00.000000,20.61327857631759,4,1300.0,1351.6666666666667
17,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,25,Anna Janouskova,Czechia,1458,1986,4,1965-07-12 00:00:00.000000,20.501026694045173,3,1300.0,1348.3333333333333
18,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,26,Eija Hyytiäinen Ristanen,Finland,2467,1986,4,1961-01-04 00:00:00.000000,25.01848049281314,33,1300.0,1345.0
19,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,27,Pirkko Määttä,Finland,1325,1986,4,1959-03-07 00:00:00.000000,26.850102669404517,34,1300.0,1341.6666666666667
20,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,28,Marie-Andree Masson,Canada,2487,1986,4,1963-10-08 00:00:00.000000,22.261464750171115,13,1300.0,1338.3333333333333
21,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,29,Annika Dahlman,Sweden,2538,1986,4,1964-01-24 00:00:00.000000,21.965776865160848,15,1300.0,1335.0
22,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,3,Simone Opitz,Germany,1452,1986,4,1963-07-03 00:00:00.000000,22.527036276522928,8,1300.0,1421.6666666666667
23,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,30,Anette Bøe,Norway,2515,1986,4,1957-11-05 00:00:00.000000,28.18343600273785,43,1300.0,1331.6666666666667
24,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,31,Bice Vanzetta,Italy,1373,1986,4,1961-03-07 00:00:00.000000,24.84873374401095,1,1300.0,1326.6666666666667
25,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,31,Annelies Lengacher,Switzerland,2599,1986,4,,,11,1300.0,1326.6666666666667
26,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,33,Jaana Savolainen,Finland,1444,1986,4,1964-01-23 00:00:00.000000,21.96851471594798,14,1300.0,1321.6666666666667
27,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,34,Irina Sharkova,Soviet,2543,1986,4,,,3,1300.0,1318.3333333333333
28,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,35,Ann Rosendahl,Sweden,2618,1986,4,1959-07-20 00:00:00.000000,26.480492813141684,26,1300.0,1315.0
29,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,36,Silke Meyer,Germany,2504,1986,4,,,2,1300.0,1311.6666666666667
30,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,37,Anna-Lena Fritzon,Sweden,1369,1986,4,1965-03-07 00:00:00.000000,20.84873374401095,11,1300.0,1308.3333333333333
31,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,38,Solveig Pedersen,Norway,1449,1986,4,1965-09-06 00:00:00.000000,20.347707049965777,1,1300.0,1305.0
32,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,39,Lorna Sasseville,Canada,1466,1986,4,1960-06-14 00:00:00.000000,25.57700205338809,3,1300.0,1301.6666666666667
33,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,4,Brit Pettersen Tofte,Norway,2534,1986,4,1961-11-29 00:00:00.000000,24.11772758384668,48,1300.0,1418.3333333333333
34,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,40,Cornelia Sulzer,Austria,1481,1986,4,1964-01-04 00:00:00.000000,22.02053388090349,6,1300.0,1298.3333333333333
35,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,41,Martina Schönbächler,Switzerland,2600,1986,4,,,10,1300.0,1295.0
36,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,42,Sirpa Kesälä,Finland,2560,1986,4,,,7,1300.0,1291.6666666666667
37,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,43,Natalia Furlatova,Soviet,2539,1986,4,,,6,1300.0,1288.3333333333333
38,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,44,Antonina Ordina,Sweden,427,1986,4,1962-01-24 00:00:00.000000,23.964407939767284,13,1300.0,1285.0
39,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,45,Dagmar Paleckova Svubova,Czechia,2559,1986,4,1958-08-09 00:00:00.000000,27.425051334702257,33,1300.0,1281.6666666666667
40,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,46,Paola Pozzoni,Italy,1388,1986,4,1965-09-17 00:00:00.000000,20.317590691307323,10,1300.0,1278.3333333333333
41,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,47,Cami Thompson,USA,9750,1986,4,,,11,1300.0,1275.0
42,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,48,Marit Elveos,Norway,1385,1986,4,1965-05-04 00:00:00.000000,20.689938398357288,3,1300.0,1271.6666666666667
43,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,49,Elena Desderi,Italy,1484,1986,4,1967-09-20 00:00:00.000000,18.310746064339494,3,1300.0,1268.3333333333333
44,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,5,Anne Jahren,Norway,1000,1986,4,1963-06-20 00:00:00.000000,22.562628336755647,36,1300.0,1415.0
45,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,50,Andreja Smrekar,Slovenia,2631,1986,4,1967-07-30 00:00:00.000000,18.45311430527036,12,1300.0,1265.0
46,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,51,Jean McAllister,Canada,1539,1986,4,1964-02-27 00:00:00.000000,21.872689938398356,8,1300.0,1261.6666666666667
47,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,52,Petra Simunkova,Czechia,9629,1986,4,,,4,1300.0,1258.3333333333333
48,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,53,Isabelle Mancini Remy,France,1381,1986,4,1967-07-26 00:00:00.000000,18.46406570841889,1,1300.0,1255.0
49,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,54,Carol Gibson,Canada,2489,1986,4,1964-12-15 00:00:00.000000,21.073237508555785,11,1300.0,1251.6666666666667
50,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,55,Gaby Scheidegger,Switzerland,2555,1986,4,,,21,1300.0,1248.3333333333333
51,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,56,Germana Sperotto,Italy,2623,1986,4,1964-02-06 00:00:00.000000,21.930184804928132,9,1300.0,1245.0
52,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,57,Vida Bertoncelj,Slovenia,9695,1986,4,,,3,1300.0,1241.6666666666667
53,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,58,Tuulikki Pyykkönen,Finland,1124,1986,4,1963-11-25 00:00:00.000000,22.130047912388775,5,1300.0,1238.3333333333333
54,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,59,Sylvie Ghio,France,9806,1986,4,,,1,1300.0,1235.0
55,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,6,Alzbeta Havrancikova,Slovakia,1020,1986,4,1963-09-27 00:00:00.000000,22.29158110882957,20,1300.0,1411.6666666666667
56,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,60,Klara Angerer,Italy,2507,1986,4,1965-02-04 00:00:00.000000,20.933607118412045,12,1300.0,1231.6666666666667
57,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,61,Odile Damour,France,9807,1986,4,,,1,1300.0,1228.3333333333333
58,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,62,Gabriela Carrel,Italy,2488,1986,4,1966-07-30 00:00:00.000000,19.45242984257358,5,1300.0,1225.0
59,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,63,Sandra Ferrari,France,9808,1986,4,,,1,1300.0,1221.6666666666667
60,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,64,Isabelle Grenier,France,9691,1986,4,,,1,1300.0,1218.3333333333333
61,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,65,Christine Claude,France,4487,1986,4,,,2,1300.0,1215.0
62,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,66,Veronique Claudel,France,9809,1986,4,,,2,1300.0,1211.6666666666667
63,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,67,Christine Bogey,France,9810,1986,4,,,1,1300.0,1208.3333333333333
64,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,68,Laurence Guy,France,9811,1986,4,,,1,1300.0,1205.0
65,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,69,Marie-Pierre Baby,France,9812,1986,4,,,1,1300.0,1201.6666666666667
66,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,7,Karin Lamberg-Skog,Sweden,2484,1986,4,1961-01-17 00:00:00.000000,24.982888432580424,27,1300.0,1408.3333333333333
67,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,70,Janine Sheppard,Australia,9803,1986,4,,,1,1300.0,1198.3333333333333
68,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,71,Valerie Didier-Laurent,France,9813,1986,4,,,2,1300.0,1195.0
69,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,72,Karin Garay,Hungary,9814,1986,4,,,2,1300.0,1191.6666666666667
70,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,73,Brigita Berezky,Hungary,9815,1986,4,,,4,1300.0,1188.3333333333333
71,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,74,Monika Hieber,Hungary,9816,1986,4,,,2,1300.0,1185.0
72,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,75,Camille Melvey,Australia,1033,1986,4,1965-07-30 00:00:00.000000,20.451745379876797,2,1300.0,1181.6666666666667
73,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,76,Judit Galbacs,Hungary,9817,1986,4,,,3,1300.0,1178.3333333333333
74,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,77,Martine Blanc,France,9818,1986,4,,,1,1300.0,1175.0
75,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,78,Cheryl Power,Australia,2498,1986,4,,,1,1300.0,1171.6666666666667
76,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,8,Evi Kratzer,Switzerland,2486,1986,4,1961-01-24 00:00:00.000000,24.9637234770705,45,1300.0,1405.0
77,1986-01-11,Les Saisies,France,World Cup,L,10,0,F,9,Marianne Dahlmo,Norway,1386,1986,4,1965-01-05 00:00:00.000000,21.01574264202601,10,1300.0,1401.6666666666667
78,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,1,Simone Opitz,Germany,1452,1986,6,1963-07-03 00:00:00.000000,22.546201232032853,10,1421.6666666666667,1525.3164017073746
79,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,10,Karin Thomas,Switzerland,2518,1986,6,1961-10-03 00:00:00.000000,24.292950034223136,33,1355.0,1482.04414098644
80,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,11,Anne Jahren,Norway,1000,1986,6,1963-06-20 00:00:00.000000,22.581793292265573,37,1415.0,1514.5565649527407
81,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,12,Eija Hyytiäinen Ristanen,Finland,2467,1986,6,1961-01-04 00:00:00.000000,25.037645448323065,35,1345.0,1469.5266259358866
82,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,13,Marit Elveos,Norway,1385,1986,6,1965-05-04 00:00:00.000000,20.709103353867214,4,1271.6666666666667,1423.4496023586373
83,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,14,Bice Vanzetta,Italy,1373,1986,6,1961-03-07 00:00:00.000000,24.867898699520875,2,1326.6666666666667,1452.1781775669967
84,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,15,Marie-Andree Masson,Canada,2487,1986,6,1963-10-08 00:00:00.000000,22.28062970568104,14,1338.3333333333333,1455.6370251062494
85,1986-01-18,Nové Město na Moravě,Czechia,World Cup,L,20,0,F,16,Pirkko Määttä,Finland,1325,1986,6,1959-03-07 00:00:00.000000,26.869267624914443,36,1341.6666666666667,1454.2475533322981
