,Date,City,Country,Event,Sex,Distance,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
0,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,1,Nina Gavriljuk,Russia,366,2000,8,1965-04-13 00:00:00.000000,34.704996577686515,154,1300.0,1358.6666666666667
1,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,10,Anfisa Reztsova,Russia,622,2000,8,1964-12-16 00:00:00.000000,35.0280629705681,60,1300.0,1356.0
2,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,11,Julija Tchepalova,Russia,212,2000,8,1976-12-23 00:00:00.000000,23.00889801505818,74,1300.0,1353.3333333333333
3,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,12,Manuela Henkel,Germany,182,2000,8,1974-12-04 00:00:00.000000,25.062286105407257,69,1300.0,1350.6666666666667
4,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,13,Irina Skladneva Lusina,Russia,413,2000,8,1974-02-04 00:00:00.000000,25.89185489390828,36,1300.0,1348.0
5,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,14,Tina Bay,Norway,380,2000,8,1973-05-30 00:00:00.000000,26.576317590691307,32,1300.0,1345.3333333333333
6,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,15,Maj Helen Nymoen Sorkmo,Norway,369,2000,8,1969-08-14 00:00:00.000000,30.368240930869266,101,1300.0,1342.6666666666667
7,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,16,Evi Sachenbacher-Stehle,Germany,61,2000,8,1980-11-27 00:00:00.000000,19.080082135523615,14,1300.0,1340.0
8,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,17,Andrea Huber,Switzerland,362,2000,8,1975-05-09 00:00:00.000000,24.635181382614647,58,1300.0,1337.3333333333333
9,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,18,Viola Bauer,Germany,251,2000,8,1976-12-13 00:00:00.000000,23.0362765229295,9,1300.0,1334.6666666666667
10,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,19,Isabel Klaus,Germany,334,2000,8,1978-04-27 00:00:00.000000,21.66735112936345,2,1300.0,1332.0
11,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,2,Anita Moen,Norway,368,2000,8,1967-08-31 00:00:00.000000,32.323066392881586,130,1300.0,1329.3333333333333
12,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,20,Irina Taranenko Terelia,Ukraine,384,2000,8,1966-03-31 00:00:00.000000,33.74127310061601,126,1300.0,1326.6666666666667
13,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,21,Kristina Smigun-Vähi,Estonia,140,2000,8,1977-02-23 00:00:00.000000,22.83915126625599,79,1300.0,1324.0
14,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,22,Nina Kemppel,USA,392,2000,8,1970-10-14 00:00:00.000000,29.201916495550993,105,1300.0,1321.3333333333333
15,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,23,Anita Hakala,Finland,621,2000,8,1971-09-15 00:00:00.000000,28.281998631074607,29,1300.0,1318.6666666666667
16,1999-12-27,Engelberg,Switzerland,World Cup,L,Sprint,0,C,24,Sabina Valbusa,Italy,142,2000,8,1972-01-21 00:00:00.000000,27.931553730321696,111,1300.0,1316.0
