,Date,City,Country,Event,Sex,Distance,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
0,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,1,Elena Välbe,Russia,1108,1996,13,1968-04-20 00:00:00.000000,27.79192334017796,132,1300.0,1385.0
1,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Kati Pulkkinen,Finland,1129,1996,13,1975-04-06 00:00:00.000000,20.83230663928816,15,1300.0,1272.5
2,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Alzbeta Havrancikova,Slovakia,1020,1996,13,1963-09-27 00:00:00.000000,32.355920602327174,139,1300.0,1272.5
3,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Fumiko Aoki,Japan,614,1996,13,1966-11-22 00:00:00.000000,29.201916495550993,62,1300.0,1272.5
4,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Constanze Blum,Germany,453,1996,13,1972-10-29 00:00:00.000000,23.266255989048595,28,1300.0,1272.5
5,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Karin Säterkvist,Sweden,1072,1996,13,1972-08-09 00:00:00.000000,23.488021902806295,13,1300.0,1272.5
6,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Kati Venäläinen-Sundqvist,Finland,265,1996,13,1975-02-15 00:00:00.000000,20.969199178644764,8,1300.0,1272.5
7,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Lubomira Balazova Ilanovska,Slovakia,1151,1996,13,1968-08-13 00:00:00.000000,27.477070499657767,73,1300.0,1272.5
8,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Svetlana Nagejkina,Russia,286,1996,13,1965-02-02 00:00:00.000000,31.003422313483913,98,1300.0,1272.5
9,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Olga Korneeva Savialova,Russia,77,1996,13,1972-08-24 00:00:00.000000,23.446954140999313,50,1300.0,1272.5
10,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Cristina Paluselli,Italy,310,1996,13,1973-10-23 00:00:00.000000,22.28336755646817,33,1300.0,1272.5
11,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Brigitte Albrecht-Loretan,Switzerland,395,1996,13,1970-10-06 00:00:00.000000,25.3305954825462,76,1300.0,1272.5
12,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Anna-Carin Olofsson Zidek,Sweden,400,1996,13,1973-04-01 00:00:00.000000,22.84462696783025,16,1300.0,1272.5
13,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Dorota Kwasna,Poland,426,1996,13,1972-09-11 00:00:00.000000,23.397672826830938,53,1300.0,1272.5
14,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,17,Irina Taranenko Terelia,Ukraine,384,1996,13,1966-03-31 00:00:00.000000,29.848049281314168,54,1300.0,1272.5
15,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,2,Anita Moen,Norway,368,1996,13,1967-08-31 00:00:00.000000,28.42984257357974,66,1300.0,1380.0
16,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,3,Katerina Neumannova,Czechia,254,1996,13,1973-02-15 00:00:00.000000,22.967830253251197,64,1300.0,1375.0
17,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,31,Tuulikki Pyykkönen,Finland,1124,1996,13,1963-11-25 00:00:00.000000,32.19438740588638,104,1300.0,1235.0
18,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,32,Bernadeta Bocek-Piotrowska,Poland,1111,1996,13,1970-03-11 00:00:00.000000,25.90280629705681,49,1300.0,1230.0
19,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,33,Anu Kittilä,Finland,1106,1996,13,1975-07-13 00:00:00.000000,20.56399726214921,6,1300.0,1222.5
20,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,33,Annick Vaxelaire-Pierrel,France,372,1996,13,1974-07-19 00:00:00.000000,21.546885694729635,21,1300.0,1222.5
21,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,35,Kumiko Yokoyama,Japan,1023,1996,13,1972-04-07 00:00:00.000000,23.82751540041068,19,1300.0,1215.0
22,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,4,Bente Skari,Norway,373,1996,13,1972-09-10 00:00:00.000000,23.40041067761807,36,1300.0,1370.0
23,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,5,Cecilie Mjøen,Norway,1265,1996,13,1972-08-30 00:00:00.000000,23.430527036276523,19,1300.0,1357.5
24,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,5,Sophie Villeneuve,France,1018,1996,13,1969-11-06 00:00:00.000000,26.245037645448324,87,1300.0,1357.5
25,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,5,Maj Helen Nymoen Sorkmo,Norway,369,1996,13,1969-08-14 00:00:00.000000,26.475017111567418,38,1300.0,1357.5
26,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,5,Manuela Henkel,Germany,182,1996,13,1974-12-04 00:00:00.000000,21.169062286105408,19,1300.0,1357.5
27,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Sylvia Honegger,Switzerland,1037,1996,13,1968-04-26 00:00:00.000000,27.77549623545517,102,1300.0,1327.5
28,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Annika Evaldsson,Sweden,615,1996,13,1970-05-14 00:00:00.000000,25.727583846680357,45,1300.0,1327.5
29,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Anke Reschwamm Schulze,Germany,308,1996,13,1972-12-08 00:00:00.000000,23.156741957563312,43,1300.0,1327.5
30,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Natalia Baranova-Masolkina,Russia,293,1996,13,1975-02-25 00:00:00.000000,20.941820670773442,17,1300.0,1327.5
31,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Elin Ek,Sweden,294,1996,13,1973-08-31 00:00:00.000000,22.428473648186174,28,1300.0,1327.5
32,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Larissa Lazutina,Russia,417,1996,13,1965-06-01 00:00:00.000000,30.677618069815196,121,1300.0,1327.5
33,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Stefania Belmondo,Italy,391,1996,13,1969-01-13 00:00:00.000000,27.058179329226558,118,1300.0,1327.5
34,1996-02-04,Reit im Winkl,Germany,World Cup,L,Sprint,0,F,9,Gabriella Paruzzi,Italy,289,1996,13,1969-06-21 00:00:00.000000,26.62286105407255,100,1300.0,1327.5
35,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Anke Reschwamm Schulze,Germany,308,1996,0,1972-12-08 00:00:00.000000,23.156741957563312,43,1327.5,1323.375
36,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Olga Korneeva Savialova,Russia,77,1996,0,1972-08-24 00:00:00.000000,23.446954140999313,50,1272.5,1276.625
37,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Anita Moen,Norway,368,1996,0,1967-08-31 00:00:00.000000,28.42984257357974,66,1380.0,1368.0
38,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Natalia Baranova-Masolkina,Russia,293,1996,0,1975-02-25 00:00:00.000000,20.941820670773442,17,1327.5,1323.375
39,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Gabriella Paruzzi,Italy,289,1996,0,1969-06-21 00:00:00.000000,26.62286105407255,100,1327.5,1323.375
40,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Manuela Henkel,Germany,182,1996,0,1974-12-04 00:00:00.000000,21.169062286105408,19,1357.5,1348.875
41,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Maj Helen Nymoen Sorkmo,Norway,369,1996,0,1969-08-14 00:00:00.000000,26.475017111567418,38,1357.5,1348.875
42,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Cristina Paluselli,Italy,310,1996,0,1973-10-23 00:00:00.000000,22.28336755646817,33,1272.5,1276.625
43,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Katerina Neumannova,Czechia,254,1996,0,1973-02-15 00:00:00.000000,22.967830253251197,64,1375.0,1363.75
44,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Elin Ek,Sweden,294,1996,0,1973-08-31 00:00:00.000000,22.428473648186174,28,1327.5,1323.375
45,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Svetlana Nagejkina,Russia,286,1996,0,1965-02-02 00:00:00.000000,31.003422313483913,98,1272.5,1276.625
46,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Kati Venäläinen-Sundqvist,Finland,265,1996,0,1975-02-15 00:00:00.000000,20.969199178644764,8,1272.5,1276.625
47,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Annick Vaxelaire-Pierrel,France,372,1996,0,1974-07-19 00:00:00.000000,21.546885694729635,21,1222.5,1234.125
48,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Irina Taranenko Terelia,Ukraine,384,1996,0,1966-03-31 00:00:00.000000,29.848049281314168,54,1272.5,1276.625
49,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Stefania Belmondo,Italy,391,1996,0,1969-01-13 00:00:00.000000,27.058179329226558,118,1327.5,1323.375
50,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Bente Skari,Norway,373,1996,0,1972-09-10 00:00:00.000000,23.40041067761807,36,1370.0,1359.5
51,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Brigitte Albrecht-Loretan,Switzerland,395,1996,0,1970-10-06 00:00:00.000000,25.3305954825462,76,1272.5,1276.625
52,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Anna-Carin Olofsson Zidek,Sweden,400,1996,0,1973-04-01 00:00:00.000000,22.84462696783025,16,1272.5,1276.625
53,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Dorota Kwasna,Poland,426,1996,0,1972-09-11 00:00:00.000000,23.397672826830938,53,1272.5,1276.625
54,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Constanze Blum,Germany,453,1996,0,1972-10-29 00:00:00.000000,23.266255989048595,28,1272.5,1276.625
55,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Fumiko Aoki,Japan,614,1996,0,1966-11-22 00:00:00.000000,29.201916495550993,62,1272.5,1276.625
56,1996-05-01 00:00:00,Summer,Break,Offseason,L,0,0,,0,Larissa Lazutina,Russia,417,1996,0,1965-06-01 00:00:00.000000,30.677618069815196,121,1327.5,1323.375
